FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-05;0;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-06;0,08;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-07;0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-08;0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-09;0,33;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-10;0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-11;0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-12;0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-01;0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-02;0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-03;-0,01;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-04;-0,75;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-05;-0,95;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-06;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-07;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-08;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-09;-1;;
