r,P,payback_time
r0.016,p155000,pt10
r0.005,p116000,pt13
r0.013,p112000,pt14
r0.01,p115000,pt13
r0.02,p135000,pt12
r0.027,p117000,pt14
r0.013,p121000,pt13
r0.005,p141000,pt10
r0.02,p114000,pt14
r0.01,p122000,pt12
r0.016,p95000,pt17
r0.005,p132000,pt11
r0.062,p117000,pt21
r0.023,p107000,pt16
r0.016,p113000,pt14
r0.005,p114000,pt13
r0.016,p114000,pt14
r0.02,p122000,pt13
r0.027,p130000,pt13
r0.042,p135000,pt14
r0.01,p138000,pt11
r0.032,p133000,pt13
r0.023,p112000,pt15
r0.02,p125000,pt13
r0.01,p138000,pt11
r0.038,p135000,pt13
r0.02,p107000,pt15
r0.02,p104000,pt16
r0.01,p136000,pt11
r0.023,p114000,pt14
r0.06,p126000,pt18
r0.045,p136000,pt14
r0.01,p128000,pt12
r0.013,p115000,pt13
r0.032,p132000,pt13
r0.013,p132000,pt12
r0.031,p122000,pt14
r0.01,p133000,pt11
r0.023,p119000,pt14
r0.028,p115000,pt15
r0.02,p111000,pt15
r0.018,p129000,pt12
r0.035,p137000,pt13
r0.018,p127000,pt12
r0.01,p119000,pt13
r0.045,p104000,pt20
r0.027,p139000,pt12
r0.01,p118000,pt13
r0.02,p131000,pt12
r0.01,p121000,pt12
r0.057,p106000,pt24
r0.015,p120000,pt13
r0.057,p113000,pt21
r0.023,p126000,pt13
r0.042,p111000,pt18
r0.023,p100000,pt17
r0.06,p98000,pt30
r0.05,p120000,pt17
r0.02,p113000,pt14
r0.005,p90000,pt16
r0.027,p118000,pt14
r0.02,p101000,pt16
r0.016,p132000,pt12
r0.038,p115000,pt16
r0.042,p114000,pt17
r0.01,p126000,pt12
r0.032,p126000,pt14
r0.023,p131000,pt12
r0.005,p116000,pt13
r0.014,p110000,pt14
r0.03,p130000,pt13
r0.027,p146000,pt11
r0.02,p113000,pt14
r0.016,p113000,pt14
r0.06,p111000,pt23
r0.01,p128000,pt12
r0.023,p122000,pt13
r0.025,p116000,pt14
r0.023,p114000,pt14
r0.005,p111000,pt13
r0.016,p129000,pt12
r0.057,p102000,pt26
r0.018,p102000,pt16
r0.02,p118000,pt14
r0.01,p119000,pt13
r0.025,p120000,pt14
r0.016,p121000,pt13
r0.06,p124000,pt18
r0.016,p122000,pt13
r0.02,p118000,pt14
r0.048,p140000,pt14
r0.016,p115000,pt14
r0.023,p121000,pt14
r0.02,p95000,pt17
r0.016,p119000,pt13
r0.02,p127000,pt13
r0.057,p135000,pt15
r0.023,p117000,pt14
r0.041,p103000,pt20
r0.01,p137000,pt11
r0.025,p103000,pt17
r0.016,p96000,pt17
r0.021,p128000,pt13
r0.057,p131000,pt16
r0.062,p117000,pt21
r0.01,p129000,pt12
r0.038,p114000,pt16
r0.02,p123000,pt13
r0.021,p106000,pt15
r0.025,p138000,pt12
r0.02,p120000,pt13
r0.011,p137000,pt11
r0.032,p110000,pt16
r0.018,p113000,pt14
r0.059,p103000,pt26
r0.015,p108000,pt14
r0.015,p102000,pt15
r0.016,p126000,pt12
r0.025,p102000,pt17
r0.042,p126000,pt15
r0.025,p121000,pt14
r0.005,p151000,pt10
r0.02,p119000,pt13
r0.025,p135000,pt12
r0.027,p127000,pt13
r0.038,p129000,pt14
r0.016,p138000,pt11
r0.005,p135000,pt11
r0.007,p107000,pt14
r0.018,p110000,pt14
r0.007,p143000,pt10
r0.013,p130000,pt12
r0.02,p108000,pt15
r0.02,p117000,pt14
r0.01,p104000,pt15
r0.025,p112000,pt15
r0.03,p126000,pt14
r0.025,p135000,pt12
r0.057,p113000,pt21
r0.005,p97000,pt15
r0.05,p126000,pt16
r0.025,p113000,pt15
r0.02,p136000,pt12
r0.021,p124000,pt13
r0.015,p108000,pt14
r0.045,p117000,pt17
r0.02,p123000,pt13
r0.02,p131000,pt12
r0.01,p132000,pt11
r0.042,p122000,pt16
r0.02,p127000,pt13
r0.027,p141000,pt12
r0.035,p99000,pt19
r0.025,p122000,pt14
r0.03,p103000,pt17
r0.02,p139000,pt11
r0.005,p144000,pt10
r0.02,p110000,pt15
r0.02,p124000,pt13
r0.037,p138000,pt13
r0.01,p116000,pt13
r0.02,p117000,pt14
r0.01,p112000,pt13
r0.013,p117000,pt13
r0.01,p118000,pt13
r0.035,p128000,pt14
r0.02,p126000,pt13
r0.005,p136000,pt11
r0.027,p101000,pt17
r0.023,p110000,pt15
r0.027,p124000,pt14
r0.02,p109000,pt15
r0.027,p119000,pt14
r0.02,p105000,pt15
r0.02,p142000,pt11
r0.01,p121000,pt12
r0.016,p129000,pt12
r0.032,p120000,pt15
r0.01,p121000,pt12
r0.023,p95000,pt18
r0.007,p117000,pt13
r0.01,p129000,pt12
r0.027,p122000,pt14
r0.06,p118000,pt20
r0.013,p133000,pt11
r0.027,p125000,pt13
r0.007,p124000,pt12
r0.023,p117000,pt14
r0.01,p105000,pt14
r0.02,p102000,pt16
r0.005,p97000,pt15
r0.007,p110000,pt13
r0.01,p123000,pt12
r0.007,p124000,pt12
r0.02,p139000,pt11
r0.013,p105000,pt15
r0.015,p109000,pt14
r0.018,p139000,pt11
r0.072,p115000,pt27
r0.045,p120000,pt16
r0.01,p127000,pt12
r0.023,p132000,pt12
r0.025,p146000,pt11
r0.005,p131000,pt11
r0.025,p115000,pt15
r0.02,p108000,pt15
r0.043,p128000,pt15
r0.025,p109000,pt15
r0.023,p107000,pt16
r0.072,p125000,pt22
r0.031,p117000,pt15
r0.021,p108000,pt15
r0.023,p119000,pt14
r0.02,p108000,pt15
r0.048,p116000,pt18
r0.01,p102000,pt15
r0.023,p109000,pt15
r0.055,p98000,pt27
r0.02,p121000,pt13
r0.062,p96000,pt1000
r0.023,p119000,pt14
r0.025,p126000,pt13
r0.005,p125000,pt12
r0.02,p122000,pt13
r0.028,p120000,pt14
r0.027,p103000,pt17
r0.005,p102000,pt14
r0.021,p118000,pt14
r0.025,p127000,pt13
r0.016,p111000,pt14
r0.013,p92000,pt17
r0.013,p93000,pt17
r0.009,p116000,pt13
r0.032,p142000,pt12
r0.025,p133000,pt12
r0.042,p131000,pt14
r0.023,p129000,pt13
r0.041,p114000,pt17
r0.01,p117000,pt13
r0.027,p118000,pt14
r0.005,p106000,pt14
r0.023,p124000,pt13
r0.023,p150000,pt11
r0.025,p118000,pt14
r0.042,p112000,pt17
r0.02,p113000,pt14
r0.015,p122000,pt13
r0.031,p115000,pt15
r0.02,p106000,pt15
r0.02,p123000,pt13
r0.02,p116000,pt14
r0.023,p127000,pt13
r0.02,p107000,pt15
r0.01,p104000,pt15
r0.01,p98000,pt15
r0.032,p130000,pt13
r0.02,p118000,pt14
r0.018,p100000,pt16
r0.01,p113000,pt13
r0.005,p107000,pt14
r0.018,p113000,pt14
r0.013,p119000,pt13
r0.02,p119000,pt13
r0.023,p105000,pt16
r0.02,p129000,pt12
r0.01,p116000,pt13
r0.02,p137000,pt12
r0.01,p121000,pt12
r0.052,p94000,pt27
r0.057,p113000,pt21
r0.027,p116000,pt15
r0.005,p124000,pt12
r0.02,p125000,pt13
r0.02,p116000,pt14
r0.027,p108000,pt16
r0.02,p127000,pt13
r0.025,p119000,pt14
r0.02,p104000,pt16
r0.023,p88000,pt20
r0.025,p120000,pt14
r0.045,p120000,pt16
r0.011,p116000,pt13
r0.025,p125000,pt13
r0.015,p142000,pt11
r0.01,p124000,pt12
r0.005,p118000,pt12
r0.02,p115000,pt14
r0.045,p115000,pt17
r0.02,p109000,pt15
r0.005,p125000,pt12
r0.025,p143000,pt11
r0.043,p106000,pt19
r0.023,p130000,pt12
r0.02,p121000,pt13
r0.025,p98000,pt18
r0.02,p122000,pt13
r0.005,p111000,pt13
r0.016,p115000,pt14
r0.052,p104000,pt22
r0.018,p137000,pt11
r0.023,p108000,pt15
r0.055,p115000,pt20
r0.062,p121000,pt20
r0.027,p138000,pt12
r0.02,p109000,pt15
r0.015,p112000,pt14
r0.01,p103000,pt15
r0.027,p112000,pt15
r0.065,p129000,pt18
r0.02,p129000,pt12
r0.01,p109000,pt14
r0.032,p135000,pt13
r0.02,p124000,pt13
r0.042,p141000,pt13
r0.06,p113000,pt22
r0.02,p102000,pt16
r0.01,p133000,pt11
r0.03,p126000,pt14
r0.02,p97000,pt17
r0.02,p135000,pt12
r0.027,p126000,pt13
r0.016,p133000,pt12
r0.005,p131000,pt11
r0.02,p130000,pt12
r0.05,p102000,pt22
r0.02,p128000,pt12
r0.023,p133000,pt12
r0.021,p123000,pt13
r0.016,p119000,pt13
r0.016,p101000,pt16
r0.023,p112000,pt15
r0.025,p130000,pt13
r0.013,p115000,pt13
r0.062,p119000,pt20
r0.062,p137000,pt16
r0.027,p103000,pt17
r0.055,p135000,pt15
r0.023,p122000,pt13
r0.015,p140000,pt11
r0.02,p126000,pt13
r0.01,p117000,pt13
r0.02,p106000,pt15
r0.031,p111000,pt16
r0.042,p127000,pt15
r0.016,p146000,pt11
r0.023,p126000,pt13
r0.025,p122000,pt14
r0.025,p106000,pt16
r0.01,p129000,pt12
r0.01,p108000,pt14
r0.02,p112000,pt14
r0.005,p129000,pt11
r0.03,p120000,pt14
r0.006,p136000,pt11
r0.02,p104000,pt16
r0.02,p121000,pt13
r0.016,p131000,pt12
r0.023,p118000,pt14
r0.01,p106000,pt14
r0.01,p101000,pt15
r0.01,p116000,pt13
r0.023,p132000,pt12
r0.05,p99000,pt24
r0.06,p124000,pt18
r0.023,p113000,pt15
r0.01,p121000,pt12
r0.02,p118000,pt14
r0.06,p121000,pt19
r0.023,p119000,pt14
r0.033,p127000,pt14
r0.028,p124000,pt14
r0.038,p153000,pt11
r0.02,p133000,pt12
r0.02,p126000,pt13
r0.02,p135000,pt12
r0.01,p106000,pt14
r0.055,p111000,pt21
r0.055,p108000,pt22
r0.02,p125000,pt13
r0.02,p140000,pt11
r0.02,p98000,pt17
r0.025,p93000,pt19
r0.016,p95000,pt17
r0.023,p125000,pt13
r0.01,p105000,pt14
r0.01,p112000,pt13
r0.052,p114000,pt19
r0.072,p110000,pt1000
r0.025,p123000,pt13
r0.062,p101000,pt30
r0.005,p98000,pt15
r0.02,p108000,pt15
r0.032,p116000,pt15
r0.038,p129000,pt14
r0.01,p121000,pt12
r0.009,p105000,pt14
r0.043,p128000,pt15
r0.025,p115000,pt15
r0.01,p122000,pt12
r0.023,p140000,pt11
r0.01,p136000,pt11
r0.025,p105000,pt16
r0.025,p124000,pt13
r0.023,p126000,pt13
r0.023,p106000,pt16
r0.023,p139000,pt12
r0.005,p128000,pt11
r0.02,p97000,pt17
r0.028,p129000,pt13
r0.02,p168000,pt9
r0.025,p127000,pt13
r0.025,p136000,pt12
r0.005,p102000,pt14
r0.02,p120000,pt13
r0.057,p108000,pt23
r0.018,p105000,pt15
r0.018,p133000,pt12
r0.041,p121000,pt16
r0.028,p135000,pt12
r0.01,p142000,pt11
r0.013,p134000,pt11
r0.013,p127000,pt12
r0.028,p124000,pt14
r0.038,p127000,pt14
r0.01,p127000,pt12
r0.013,p146000,pt10
r0.043,p119000,pt16
r0.01,p124000,pt12
r0.01,p134000,pt11
r0.027,p103000,pt17
r0.013,p130000,pt12
r0.023,p116000,pt14
r0.005,p130000,pt11
r0.005,p120000,pt12
r0.023,p116000,pt14
r0.02,p120000,pt13
r0.005,p106000,pt14
r0.016,p144000,pt11
r0.018,p126000,pt13
r0.048,p128000,pt15
r0.062,p81000,pt1000
r0.02,p93000,pt18
r0.01,p109000,pt14
r0.02,p120000,pt13
r0.023,p101000,pt17
r0.011,p108000,pt14
r0.038,p104000,pt19
r0.005,p140000,pt10
r0.02,p97000,pt17
r0.015,p108000,pt14
r0.062,p108000,pt25
r0.03,p100000,pt18
r0.059,p121000,pt19
r0.025,p116000,pt14
r0.018,p108000,pt15
r0.02,p123000,pt13
r0.02,p120000,pt13
r0.042,p104000,pt19
r0.015,p140000,pt11
r0.028,p100000,pt18
r0.042,p101000,pt20
r0.013,p130000,pt12
r0.025,p107000,pt16
r0.02,p118000,pt14
r0.02,p111000,pt15
r0.016,p123000,pt13
r0.005,p123000,pt12
r0.005,p105000,pt14
r0.042,p117000,pt16
r0.043,p114000,pt17
r0.02,p114000,pt14
r0.025,p88000,pt20
r0.023,p123000,pt13
r0.023,p108000,pt15
r0.06,p112000,pt22
r0.013,p119000,pt13
r0.065,p136000,pt17
r0.041,p119000,pt16
r0.01,p97000,pt16
r0.005,p117000,pt12
r0.015,p129000,pt12
r0.02,p120000,pt13
r0.02,p98000,pt17
r0.06,p127000,pt18
r0.005,p104000,pt14
r0.02,p140000,pt11
r0.027,p114000,pt15
r0.023,p127000,pt13
r0.011,p123000,pt12
r0.02,p123000,pt13
r0.023,p134000,pt12
r0.02,p121000,pt13
r0.016,p99000,pt16
r0.025,p109000,pt15
r0.014,p127000,pt12
r0.005,p136000,pt11
r0.02,p123000,pt13
r0.005,p135000,pt11
r0.025,p129000,pt13
r0.005,p121000,pt12
r0.005,p110000,pt13
r0.005,p105000,pt14
r0.016,p136000,pt11
r0.009,p118000,pt13
r0.021,p131000,pt12
r0.045,p101000,pt21
r0.013,p115000,pt13
r0.018,p130000,pt12
r0.015,p149000,pt10
r0.025,p124000,pt13
r0.02,p112000,pt14
r0.023,p138000,pt12
r0.01,p140000,pt11
r0.033,p116000,pt15
r0.013,p121000,pt13
r0.016,p130000,pt12
r0.02,p119000,pt13
r0.015,p116000,pt13
r0.02,p138000,pt11
r0.02,p126000,pt13
r0.057,p159000,pt12
r0.016,p119000,pt13
r0.033,p122000,pt14
r0.01,p146000,pt10
r0.023,p118000,pt14
r0.01,p144000,pt10
r0.01,p114000,pt13
r0.055,p125000,pt17
r0.01,p114000,pt13
r0.01,p140000,pt11
r0.02,p134000,pt12
r0.023,p109000,pt15
r0.043,p119000,pt16
r0.025,p144000,pt11
r0.065,p108000,pt27
r0.041,p119000,pt16
r0.043,p109000,pt18
r0.014,p89000,pt18
r0.02,p99000,pt17
r0.057,p121000,pt18
r0.013,p151000,pt10
r0.05,p134000,pt15
r0.02,p111000,pt15
r0.01,p126000,pt12
r0.023,p119000,pt14
r0.005,p128000,pt11
r0.02,p116000,pt14
r0.02,p112000,pt14
r0.027,p104000,pt17
r0.01,p133000,pt11
r0.023,p113000,pt15
r0.005,p131000,pt11
r0.045,p118000,pt17
r0.038,p112000,pt17
r0.016,p118000,pt13
r0.03,p123000,pt14
r0.013,p93000,pt17
r0.027,p113000,pt15
r0.031,p95000,pt19
r0.027,p120000,pt14
r0.015,p126000,pt12
r0.062,p124000,pt19
r0.023,p121000,pt14
r0.01,p125000,pt12
r0.03,p123000,pt14
r0.027,p125000,pt13
r0.025,p108000,pt16
r0.03,p107000,pt17
r0.02,p117000,pt14
r0.01,p104000,pt15
r0.031,p126000,pt14
r0.005,p122000,pt12
r0.025,p113000,pt15
r0.01,p121000,pt12
r0.018,p108000,pt15
r0.023,p115000,pt14
r0.052,p126000,pt16
r0.03,p131000,pt13
r0.02,p105000,pt15
r0.01,p110000,pt14
r0.023,p116000,pt14
r0.02,p101000,pt16
r0.023,p113000,pt15
r0.023,p102000,pt16
r0.027,p105000,pt16
r0.007,p112000,pt13
r0.028,p123000,pt14
r0.031,p129000,pt13
r0.037,p111000,pt17
r0.031,p116000,pt15
r0.072,p127000,pt21
r0.02,p117000,pt14
r0.013,p104000,pt15
r0.03,p120000,pt14
r0.02,p143000,pt11
r0.013,p129000,pt12
r0.007,p104000,pt14
r0.018,p121000,pt13
r0.01,p107000,pt14
r0.013,p123000,pt12
r0.005,p127000,pt12
r0.06,p109000,pt24
r0.013,p119000,pt13
r0.01,p117000,pt13
r0.013,p131000,pt12
r0.037,p120000,pt15
r0.018,p135000,pt12
r0.03,p99000,pt18
r0.035,p125000,pt14
r0.023,p101000,pt17
r0.055,p126000,pt17
r0.02,p111000,pt15
r0.013,p113000,pt14
r0.025,p111000,pt15
r0.005,p109000,pt13
r0.059,p116000,pt20
r0.055,p132000,pt16
r0.02,p84000,pt20
r0.023,p132000,pt12
r0.02,p118000,pt14
r0.01,p112000,pt13
r0.02,p87000,pt19
r0.02,p130000,pt12
r0.02,p126000,pt13
r0.005,p115000,pt13
r0.01,p117000,pt13
r0.005,p108000,pt14
r0.052,p128000,pt16
r0.02,p120000,pt13
r0.005,p137000,pt11
r0.005,p154000,pt10
r0.02,p122000,pt13
r0.055,p117000,pt19
r0.01,p138000,pt11
r0.005,p126000,pt12
r0.01,p125000,pt12
r0.018,p122000,pt13
r0.016,p108000,pt15
r0.03,p130000,pt13
r0.016,p82000,pt20
r0.026,p100000,pt17
r0.032,p104000,pt17
r0.01,p113000,pt13
r0.025,p130000,pt13
r0.015,p127000,pt12
r0.02,p114000,pt14
r0.045,p132000,pt14
r0.042,p127000,pt15
r0.01,p127000,pt12
r0.011,p120000,pt13
r0.02,p149000,pt11
r0.057,p130000,pt16
r0.032,p105000,pt17
r0.035,p105000,pt18
r0.025,p126000,pt13
r0.01,p121000,pt12
r0.055,p127000,pt17
r0.02,p136000,pt12
r0.03,p110000,pt16
r0.02,p135000,pt12
r0.005,p130000,pt11
r0.028,p116000,pt15
r0.013,p129000,pt12
r0.005,p110000,pt13
r0.018,p136000,pt12
r0.016,p123000,pt13
r0.055,p132000,pt16
r0.02,p121000,pt13
r0.013,p101000,pt15
r0.023,p115000,pt14
r0.02,p124000,pt13
r0.005,p106000,pt14
r0.01,p121000,pt12
r0.037,p122000,pt15
r0.02,p121000,pt13
r0.033,p105000,pt17
r0.01,p120000,pt13
r0.02,p131000,pt12
r0.023,p108000,pt15
r0.059,p113000,pt21
r0.027,p110000,pt16
r0.025,p95000,pt18
r0.01,p119000,pt13
r0.06,p118000,pt20
r0.01,p106000,pt14
r0.025,p124000,pt13
r0.011,p139000,pt11
r0.02,p126000,pt13
r0.016,p118000,pt13
r0.01,p113000,pt13
r0.02,p122000,pt13
r0.032,p126000,pt14
r0.057,p118000,pt19
r0.023,p100000,pt17
r0.02,p113000,pt14
r0.007,p121000,pt12
r0.02,p110000,pt15
r0.035,p108000,pt17
r0.02,p127000,pt13
r0.005,p120000,pt12
r0.027,p121000,pt14
r0.005,p140000,pt10
r0.01,p101000,pt15
r0.03,p119000,pt14
r0.01,p102000,pt15
r0.027,p135000,pt12
r0.023,p130000,pt12
r0.01,p117000,pt13
r0.015,p88000,pt18
r0.02,p116000,pt14
r0.005,p117000,pt12
r0.01,p105000,pt14
r0.015,p124000,pt12
r0.033,p129000,pt13
r0.005,p115000,pt13
r0.031,p122000,pt14
r0.045,p115000,pt17
r0.01,p114000,pt13
r0.023,p114000,pt14
r0.02,p130000,pt12
r0.032,p133000,pt13
r0.025,p110000,pt15
r0.023,p127000,pt13
r0.027,p115000,pt15
r0.01,p127000,pt12
r0.025,p115000,pt15
r0.06,p102000,pt27
r0.057,p126000,pt17
r0.01,p119000,pt13
r0.016,p131000,pt12
r0.013,p126000,pt12
r0.01,p134000,pt11
r0.005,p104000,pt14
r0.005,p92000,pt16
r0.01,p112000,pt13
r0.021,p133000,pt12
r0.067,p122000,pt21
r0.005,p125000,pt12
r0.016,p114000,pt14
r0.005,p138000,pt11
r0.005,p108000,pt14
r0.01,p110000,pt14
r0.013,p134000,pt11
r0.013,p122000,pt13
r0.013,p116000,pt13
r0.01,p113000,pt13
r0.01,p121000,pt12
r0.028,p118000,pt14
r0.038,p105000,pt18
r0.013,p121000,pt13
r0.02,p145000,pt11
r0.052,p111000,pt20
r0.027,p117000,pt14
r0.02,p125000,pt13
r0.025,p145000,pt11
r0.062,p125000,pt19
r0.02,p114000,pt14
r0.033,p99000,pt19
r0.023,p123000,pt13
r0.01,p129000,pt12
r0.013,p118000,pt13
r0.023,p111000,pt15
r0.01,p126000,pt12
r0.01,p124000,pt12
r0.02,p117000,pt14
r0.028,p118000,pt14
r0.06,p120000,pt19
r0.02,p116000,pt14
r0.02,p115000,pt14
r0.01,p100000,pt15
r0.023,p105000,pt16
r0.045,p123000,pt16
r0.032,p109000,pt16
r0.027,p149000,pt11
r0.028,p119000,pt14
r0.013,p111000,pt14
r0.01,p135000,pt11
r0.016,p123000,pt13
r0.037,p89000,pt23
r0.02,p125000,pt13
r0.02,p105000,pt15
r0.005,p113000,pt13
r0.023,p145000,pt11
r0.057,p138000,pt15
r0.023,p131000,pt12
r0.025,p104000,pt16
r0.01,p124000,pt12
r0.021,p102000,pt16
r0.025,p133000,pt12
r0.01,p115000,pt13
r0.005,p143000,pt10
r0.01,p139000,pt11
r0.005,p122000,pt12
r0.005,p106000,pt14
r0.023,p134000,pt12
r0.023,p136000,pt12
r0.043,p121000,pt16
r0.011,p133000,pt11
r0.02,p116000,pt14
r0.052,p110000,pt20
r0.023,p132000,pt12
r0.023,p114000,pt14
r0.02,p138000,pt11
r0.027,p114000,pt15
r0.02,p126000,pt13
r0.023,p136000,pt12
r0.011,p101000,pt15
r0.013,p129000,pt12
r0.023,p130000,pt12
r0.016,p144000,pt11
r0.007,p106000,pt14
r0.03,p136000,pt12
r0.013,p115000,pt13
r0.006,p127000,pt12
r0.038,p117000,pt16
r0.013,p125000,pt12
r0.035,p120000,pt15
r0.02,p119000,pt13
r0.016,p127000,pt12
r0.02,p127000,pt13
r0.041,p111000,pt18
r0.02,p135000,pt12
r0.035,p117000,pt15
r0.013,p120000,pt13
r0.03,p108000,pt16
r0.01,p118000,pt13
r0.023,p123000,pt13
r0.025,p137000,pt12
r0.02,p90000,pt18
r0.01,p121000,pt12
r0.015,p112000,pt14
r0.02,p105000,pt15
r0.033,p108000,pt17
r0.02,p114000,pt14
r0.023,p133000,pt12
r0.025,p122000,pt14
r0.032,p123000,pt14
r0.032,p111000,pt16
r0.062,p131000,pt17
r0.016,p123000,pt13
r0.057,p133000,pt16
r0.01,p121000,pt12
r0.005,p110000,pt13
r0.03,p116000,pt15
r0.01,p98000,pt15
r0.06,p141000,pt15
r0.023,p136000,pt12
r0.01,p127000,pt12
r0.023,p115000,pt14
r0.013,p141000,pt11
r0.005,p105000,pt14
r0.023,p136000,pt12
r0.013,p97000,pt16
r0.01,p101000,pt15
r0.013,p130000,pt12
r0.013,p105000,pt15
r0.01,p120000,pt13
r0.005,p126000,pt12
r0.043,p106000,pt19
r0.062,p87000,pt1000
r0.028,p94000,pt19
r0.023,p132000,pt12
r0.032,p116000,pt15
r0.02,p118000,pt14
r0.016,p142000,pt11
r0.023,p122000,pt13
r0.01,p136000,pt11
r0.023,p121000,pt14
r0.016,p131000,pt12
r0.045,p117000,pt17
r0.02,p115000,pt14
r0.005,p115000,pt13
r0.016,p131000,pt12
r0.015,p124000,pt12
r0.015,p119000,pt13
r0.02,p111000,pt15
r0.02,p122000,pt13
r0.027,p118000,pt14
r0.025,p121000,pt14
r0.02,p128000,pt12
r0.01,p106000,pt14
r0.037,p108000,pt17
r0.023,p153000,pt10
r0.01,p114000,pt13
r0.033,p121000,pt15
r0.02,p135000,pt12
r0.014,p127000,pt12
r0.01,p131000,pt11
r0.023,p126000,pt13
r0.02,p104000,pt16
r0.048,p129000,pt15
r0.023,p130000,pt12
r0.028,p113000,pt15
r0.02,p93000,pt18
r0.016,p121000,pt13
r0.01,p110000,pt14
r0.013,p106000,pt15
r0.025,p103000,pt17
r0.023,p130000,pt12
r0.027,p130000,pt13
r0.01,p127000,pt12
r0.027,p126000,pt13
r0.023,p109000,pt15
r0.032,p120000,pt15
r0.023,p121000,pt14
r0.028,p120000,pt14
r0.032,p113000,pt16
r0.03,p129000,pt13
r0.06,p127000,pt18
r0.02,p129000,pt12
r0.038,p118000,pt16
r0.023,p113000,pt15
r0.045,p119000,pt17
r0.02,p113000,pt14
r0.005,p119000,pt12
r0.025,p126000,pt13
r0.021,p108000,pt15
r0.01,p115000,pt13
r0.023,p124000,pt13
r0.023,p112000,pt15
r0.005,p139000,pt11
r0.06,p119000,pt20
r0.018,p118000,pt13
r0.025,p134000,pt12
r0.035,p131000,pt13
r0.01,p113000,pt13
r0.02,p132000,pt12
r0.032,p117000,pt15
r0.072,p131000,pt20
r0.01,p113000,pt13
r0.01,p128000,pt12
r0.01,p117000,pt13
r0.055,p112000,pt21
r0.023,p116000,pt14
r0.005,p126000,pt12
r0.025,p110000,pt15
r0.018,p115000,pt14
r0.027,p133000,pt12
r0.02,p123000,pt13
r0.03,p119000,pt14
r0.038,p119000,pt15
r0.005,p120000,pt12
r0.02,p132000,pt12
r0.027,p117000,pt14
r0.023,p130000,pt12
r0.035,p127000,pt14
r0.025,p126000,pt13
r0.067,p112000,pt26
r0.028,p121000,pt14
r0.03,p148000,pt11
r0.01,p132000,pt11
r0.021,p122000,pt13
r0.016,p99000,pt16
r0.03,p100000,pt18
r0.023,p107000,pt16
r0.021,p128000,pt13
r0.06,p102000,pt27
r0.01,p124000,pt12
r0.023,p125000,pt13
r0.045,p129000,pt15
r0.01,p117000,pt13
r0.023,p126000,pt13
r0.01,p114000,pt13
r0.041,p128000,pt14
r0.02,p119000,pt13
r0.016,p117000,pt13
r0.015,p98000,pt16
r0.043,p124000,pt15
r0.035,p115000,pt16
r0.018,p123000,pt13
r0.02,p137000,pt12
r0.025,p120000,pt14
r0.041,p123000,pt15
r0.035,p136000,pt13
r0.013,p111000,pt14
r0.02,p110000,pt15
r0.01,p135000,pt11
r0.023,p105000,pt16
r0.052,p135000,pt15
r0.01,p118000,pt13
r0.01,p110000,pt14
r0.025,p136000,pt12
r0.023,p97000,pt17
r0.016,p116000,pt13
r0.05,p115000,pt18
r0.028,p108000,pt16
r0.023,p118000,pt14
r0.02,p146000,pt11
r0.005,p117000,pt12
r0.01,p132000,pt11
r0.005,p132000,pt11
r0.016,p134000,pt12
r0.015,p117000,pt13
r0.01,p95000,pt16
r0.032,p105000,pt17
r0.02,p124000,pt13
r0.02,p126000,pt13
r0.042,p120000,pt16
r0.023,p134000,pt12
r0.014,p135000,pt11
r0.021,p135000,pt12
r0.027,p134000,pt12
r0.013,p131000,pt12
r0.01,p116000,pt13
r0.02,p132000,pt12
r0.025,p126000,pt13
r0.02,p108000,pt15
r0.01,p129000,pt12
r0.013,p118000,pt13
r0.01,p127000,pt12
r0.032,p127000,pt14
r0.02,p130000,pt12
r0.013,p96000,pt16
r0.02,p133000,pt12
r0.023,p108000,pt15
r0.025,p127000,pt13
r0.025,p110000,pt15
r0.06,p134000,pt16
r0.035,p116000,pt16
r0.007,p131000,pt11
r0.045,p111000,pt18
r0.005,p129000,pt11
r0.025,p118000,pt14
r0.005,p125000,pt12
r0.023,p135000,pt12
r0.01,p136000,pt11
r0.013,p123000,pt12
r0.043,p137000,pt13
r0.023,p121000,pt14
r0.015,p137000,pt11
r0.021,p125000,pt13
r0.023,p130000,pt12
r0.013,p157000,pt10
r0.01,p131000,pt11
r0.013,p116000,pt13
r0.016,p124000,pt13
r0.016,p126000,pt12
r0.005,p117000,pt12
r0.018,p113000,pt14
r0.055,p115000,pt20
r0.01,p133000,pt11
r0.01,p115000,pt13
r0.015,p117000,pt13
r0.016,p121000,pt13
r0.005,p107000,pt14
r0.005,p123000,pt12
r0.023,p99000,pt17
r0.025,p116000,pt14
r0.013,p135000,pt11
r0.032,p123000,pt14
r0.023,p149000,pt11
r0.016,p125000,pt12
r0.014,p115000,pt13
r0.013,p128000,pt12
r0.006,p119000,pt12
r0.023,p118000,pt14
r0.03,p146000,pt11
r0.006,p133000,pt11
r0.02,p111000,pt15
r0.02,p109000,pt15
r0.01,p113000,pt13
r0.01,p138000,pt11
r0.018,p121000,pt13
r0.01,p105000,pt14
r0.01,p125000,pt12
r0.025,p103000,pt17
r0.005,p135000,pt11
r0.038,p118000,pt16
r0.005,p130000,pt11
r0.005,p116000,pt13
r0.02,p109000,pt15
r0.023,p109000,pt15
r0.005,p136000,pt11
r0.018,p136000,pt12
r0.032,p112000,pt16
