FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-01;3,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-02;3,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-03;3,6;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-04;3,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-05;3,88;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-06;4,27;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-07;4,93;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-08;6,07;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-09;8;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-10;8;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-11;8;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998-12;8;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-01;7,95;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-02;7,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-03;7,04;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-04;6,87;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-05;6,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-06;6,27;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-07;6;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-08;6;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-09;5,86;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-10;5,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-11;5,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999-12;5,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2000-01;5,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2000-02;5,5;;
